location,mission,premium+,type,author,description,level,song
guitar-learn-missions-knowledge,know your fretboard,FALSE,video,-,-,4,video: notes to memorize
guitar-learn-missions-knowledge,know your fretboard,FALSE,song,the yousicians,riff,4,know your notes
guitar-learn-missions-knowledge,know your fretboard,FALSE,song,the yousicians,exercise,4,arpeggio: major & minor (popular keys)
guitar-learn-missions-knowledge,know your fretboard,FALSE,song,the yousicians,exercise,4,scale: minor blues
guitar-learn-missions-knowledge,know your fretboard,FALSE,song,the yousicians,exercise,4,scale: major pentatonic
guitar-learn-missions-knowledge,know your fretboard,FALSE,video,-,-,4,video: faster notes
guitar-learn-missions-knowledge,know your fretboard,FALSE,song,the yousicians,riff,4,takadimi
guitar-learn-missions-knowledge,ear training: half steps,FALSE,puzzle,-,-,4,ear puzzles: half step lines
guitar-learn-missions-knowledge,ear training: half steps,FALSE,puzzle,-,-,4,ear puzzles: chromatic melodies
guitar-learn-missions-knowledge,ear training: half steps,FALSE,finder,-,-,4,note-finder: major pentatonic
guitar-learn-missions-knowledge,ear training: half steps,FALSE,finder,-,-,4,note-finder: minor blues
guitar-learn-missions-rhythm,skill test (rhythm level 4),FALSE,song,the yousicians,basic riff,4,finger oil blues
guitar-learn-missions-rhythm,skill test (rhythm level 4),FALSE,trainer,-,-,4,chord trainer: cowboy & power
guitar-learn-missions-rhythm,moveable power chords,FALSE,video,-,-,4,video: moveable power chords
guitar-learn-missions-rhythm,moveable power chords,FALSE,trainer,-,-,4,chord trainer: moveable power chords
guitar-learn-missions-rhythm,moveable power chords,FALSE,song,the yousicians,power chords,4,livewire
guitar-learn-missions-rhythm,moveable power chords,FALSE,song,the yousicians,power chords,4,gems
guitar-learn-missions-rhythm,moveable power chords,FALSE,video,-,-,4,video: fingertip muting
guitar-learn-missions-rhythm,moveable power chords,FALSE,trainer,-,-,4,trainer: fingertip muting
guitar-learn-missions-rhythm,moveable power chords,FALSE,song,the yousicians,power chords,4,anarchy in the ai
guitar-learn-missions-rhythm,moveable power chords,FALSE,song,the yousicians,moveable power chords,4,highway to helsinki
guitar-learn-missions-rhythm,moveable power chords,FALSE,trainer,-,-,4,trainer: memorizing power chords
guitar-learn-missions-rhythm,moveable power chords,FALSE,song,the yousicians,power chords,4,have you seen this boy?
guitar-learn-missions-rhythm,moveable power chords,FALSE,song,the yousicians,power chords,4,armed with guitars
guitar-learn-missions-rhythm,moveable power chords,FALSE,song,traditional,power chords,4,when johnny comes marching home
guitar-learn-missions-rhythm,cowboy chords 5: F and Dm,FALSE,video,-,-,4,video: learn F
guitar-learn-missions-rhythm,cowboy chords 5: F and Dm,FALSE,trainer,-,-,4,chord trainer: F
guitar-learn-missions-rhythm,cowboy chords 5: F and Dm,FALSE,trainer,-,-,4,trainer: cowboy chord review 5
guitar-learn-missions-rhythm,cowboy chords 5: F and Dm,FALSE,song,the yousicians,cowboy chords,4,i'm a guitar bot
guitar-learn-missions-rhythm,cowboy chords 5: F and Dm,FALSE,song,the yousicians,cowboy chords,4,armed with guitars
guitar-learn-missions-rhythm,cowboy chords 5: F and Dm,FALSE,video,-,-,4,video: strumming patterns
guitar-learn-missions-rhythm,cowboy chords 5: F and Dm,FALSE,trainer,-,-,4,trainer: strumming patterns
guitar-learn-missions-rhythm,cowboy chords 5: F and Dm,FALSE,song,the yousicians,cowboy chords,4,"rest now, human"
guitar-learn-missions-rhythm,cowboy chords 5: F and Dm,FALSE,song,the yousicians,basic cowboy chords,4,stardomite
guitar-learn-missions-rhythm,cowboy chords 5: F and Dm,FALSE,video,-,-,4,video: learn Dm
guitar-learn-missions-rhythm,cowboy chords 5: F and Dm,FALSE,trainer,-,-,4,chord trainer: Dm
guitar-learn-missions-rhythm,cowboy chords 5: F and Dm,FALSE,trainer,-,-,4,trainer: cowboy chord review 6
guitar-learn-missions-rhythm,cowboy chords 5: F and Dm,FALSE,song,the yousicians,cowboy chords,4,moon hop
guitar-learn-missions-rhythm,cowboy chords 5: F and Dm,FALSE,song,the yousicians,cowboy chords,4,don't rust alone
guitar-learn-missions-lead,skill test (lead level 5),FALSE,song,johann sebastian bach,simplified melody,5,bouree (rock)
guitar-learn-missions-lead,hammer & pull,FALSE,video,-,-,5,video: hammer-ons
guitar-learn-missions-lead,hammer & pull,FALSE,trainer,-,-,5,trainer: hammer-ons
guitar-learn-missions-lead,hammer & pull,FALSE,song,the yousicians,legato melody,5,laser beams
guitar-learn-missions-lead,hammer & pull,FALSE,song,the yousicians,hammer-ons,5,hammer of thor
guitar-learn-missions-lead,hammer & pull,FALSE,video,-,-,5,video: pull-offs
guitar-learn-missions-lead,hammer & pull,FALSE,trainer,-,-,5,trainer: pull-offs
guitar-learn-missions-lead,hammer & pull,FALSE,song,the yousicians,legato melody,5,rasta bots
guitar-learn-missions-lead,hammer & pull,FALSE,song,claude debussy,legato melody,5,clair de lune
guitar-learn-missions-lead,hammer & pull,FALSE,trainer,-,-,5,trainer: hammer-pull combos
guitar-learn-missions-lead,hammer & pull,FALSE,song,traditional,melody,5,el condor pasa
guitar-learn-missions-lead,hammer & pull,FALSE,song,traditional,legato melody,5,two ravens
guitar-learn-missions-lead,legato lead,FALSE,trainer,-,-,5,trainer: legato coordination
guitar-learn-missions-lead,legato lead,FALSE,song,gabriel faure,legato melody,5,pavane
guitar-learn-missions-lead,legato lead,FALSE,song,antonio vivaldi,melody,5,four seasons (winter)
guitar-learn-missions-lead,legato lead,FALSE,song,edvard grieg,main melody,5,in the hall of the mountain king
guitar-learn-missions-lead,legato lead,FALSE,song,traditional,main melody,5,wiskey in the jar
guitar-learn-missions-lead,legato lead,FALSE,trainer,-,-,5,trainer: legato licks
guitar-learn-missions-lead,legato lead,FALSE,song,the yousicians,melody,5,mentatonic
guitar-learn-missions-lead,legato lead,FALSE,song,the yousicians,melody,5,30 years later
guitar-learn-missions-knowledge,skill test (knowledge level 5),FALSE,quiz,-,-,5,quiz: knowledge review
guitar-learn-missions-knowledge,keys and grooves,FALSE,video,-,-,5,video: keys
guitar-learn-missions-knowledge,keys and grooves,FALSE,song,the yousicians,exercise,5,scale: major
guitar-learn-missions-knowledge,keys and grooves,FALSE,song,the yousicians,exercise,5,scale: minor
guitar-learn-missions-knowledge,keys and grooves,FALSE,song,the yousicians,exercise,5,arpeggio: cowboy shapes
guitar-learn-missions-knowledge,keys and grooves,FALSE,video,-,-,5,video: octaves
guitar-learn-missions-knowledge,keys and grooves,FALSE,song,the yousicians,riff,5,12 steps
guitar-learn-missions-knowledge,keys and grooves,FALSE,video,-,-,5,video: triplets
guitar-learn-missions-knowledge,keys and grooves,FALSE,song,the yousicians,riff,5,triplets
guitar-learn-missions-knowledge,ear training: major & minor,FALSE,finder,-,-,5,note-finder: major scale
guitar-learn-missions-knowledge,ear training: major & minor,FALSE,finder,-,-,5,note-finder: minor scale
guitar-learn-missions-rhythm,skill test (rhythm level 5),FALSE,song,the yousicians,chords & riff,5,close my eyes
guitar-learn-missions-rhythm,skill test (rhythm level 5),FALSE,trainer,-,-,5,chord trainer: cowboy & power
guitar-learn-missions-rhythm,broken chords,FALSE,video,-,-,5,expressive strumming
guitar-learn-missions-rhythm,broken chords,FALSE,trainer,-,-,5,trainer: expressive strumming
guitar-learn-missions-rhythm,broken chords,FALSE,song,traditional,cowboy chords,5,black eyes
guitar-learn-missions-rhythm,broken chords,FALSE,song,traditional,cowboy chords,5,scarborough fair (electro)
guitar-learn-missions-rhythm,broken chords,FALSE,video,-,-,5,chords + notes
guitar-learn-missions-rhythm,broken chords,FALSE,trainer,-,-,5,trainer: chords + notes
guitar-learn-missions-rhythm,broken chords,FALSE,song,the yousicians,chord riff,5,hammer song
guitar-learn-missions-rhythm,broken chords,FALSE,song,the yousicians,cowboy chord-riff,5,livewire
guitar-learn-missions-rhythm,broken chords,FALSE,video,-,-,5,video: broken chords
guitar-learn-missions-rhythm,broken chords,FALSE,trainer,-,-,5,trainer: broken chords
guitar-learn-missions-rhythm,broken chords,FALSE,song,the yousicians,broken chords,5,cowboy exit music
guitar-learn-missions-rhythm,broken chords,FALSE,song,the yousicians,broken chords,5,playing in the park
guitar-learn-missions-rhythm,strumming challenge,FALSE,video,-,-,5,video: transition strums
