year,week,challenge,weeks ago,guitar,piano,ukulele,bass,voice
2017,11,burning balalaikas,106,TRUE,TRUE,TRUE,TRUE,FALSE
2017,10,rock explosion,107,TRUE,TRUE,TRUE,TRUE,FALSE
2017,9,sunday morning jazz breakfast,108,TRUE,TRUE,TRUE,TRUE,FALSE
2017,8,dark hounds & white whales,109,TRUE,TRUE,TRUE,TRUE,FALSE
2017,7,dub til you drop,110,TRUE,TRUE,TRUE,TRUE,FALSE
2017,6,corazon bailando - songs from the barrio,111,TRUE,TRUE,TRUE,TRUE,FALSE
2017,5,metal mania,112,TRUE,TRUE,TRUE,TRUE,FALSE
2017,4,bluegrass fever,113,TRUE,TRUE,TRUE,TRUE,FALSE
2017,3,the return of the disco daddy,114,TRUE,TRUE,TRUE,TRUE,FALSE
2017,2,italia - tarantella & tagliatelle,115,TRUE,TRUE,TRUE,TRUE,FALSE
2017,1,delicate moods - raindrops & romance,116,TRUE,TRUE,TRUE,TRUE,FALSE
2016,52,future city sounds - back by popular demand,117,TRUE,TRUE,TRUE,TRUE,FALSE
2016,51,from santa with love,118,TRUE,TRUE,TRUE,TRUE,FALSE
2016,50,peaceful christmas classics,119,TRUE,TRUE,TRUE,TRUE,FALSE
2016,49,rough it up - raw sounds and blistered fingers,120,TRUE,TRUE,TRUE,TRUE,FALSE
2016,48,the big bad big band boogie,121,TRUE,TRUE,TRUE,TRUE,FALSE
2016,47,slow jamz - kick it with some r'n'b,122,TRUE,TRUE,TRUE,TRUE,FALSE
2016,46,the supermassive supermoon,123,TRUE,TRUE,TRUE,TRUE,FALSE
2016,45,restless boots - odes to the country roads,124,TRUE,TRUE,TRUE,TRUE,FALSE
2016,44,west africa - earthy rhythms from senegal & mali,125,TRUE,TRUE,TRUE,TRUE,FALSE
2016,43,the return of the pumpkins,126,TRUE,TRUE,TRUE,TRUE,FALSE
2016,42,helsinki bachata - feat. joaquin luis,127,TRUE,TRUE,TRUE,TRUE,FALSE
2016,41,mozart modernized - eine kleine blastmusik,128,TRUE,TRUE,TRUE,TRUE,FALSE
2016,40,alternative adventures - battle for a week rule for a lifetime,129,TRUE,TRUE,TRUE,TRUE,FALSE
2016,39,follow me - rek along with two indie pop tunes,130,TRUE,TRUE,TRUE,TRUE,FALSE
2016,38,cumbia party - come out and dance,131,TRUE,TRUE,TRUE,TRUE,FALSE
2016,37,tales from the dark caves - where the bleak ballads grow,132,TRUE,TRUE,TRUE,TRUE,FALSE
2016,36,bring on the riddim feat. puppa j.,133,TRUE,TRUE,TRUE,TRUE,FALSE
2016,35,klezmer klassiks - dance till you drop,134,TRUE,TRUE,TRUE,TRUE,FALSE
2016,34,solely you - sha-la-la into the 50's,135,TRUE,TRUE,TRUE,TRUE,FALSE
2016,33,fiesta mexicana - spicy hot evergreens,136,TRUE,TRUE,TRUE,TRUE,FALSE
2016,32,surfin' - catch the wave,137,TRUE,TRUE,TRUE,TRUE,FALSE
2016,31,french impressions - maurice ravel,138,TRUE,TRUE,TRUE,TRUE,FALSE
2016,30,wicked rhythms - grooves with a twist,139,TRUE,TRUE,TRUE,TRUE,FALSE
2016,29,feelin' good - uplifting pop hits,140,TRUE,TRUE,TRUE,TRUE,FALSE
2016,28,the summer of love - peace & harmony,141,TRUE,TRUE,TRUE,TRUE,FALSE
2016,27,classic rock - the challenge goes to 11,142,TRUE,TRUE,TRUE,TRUE,FALSE
2016,26,songs of the midnight sun - finnish folk tunes,143,TRUE,TRUE,TRUE,TRUE,FALSE
2016,25,feel the beat - afro-funk grooves,144,TRUE,TRUE,TRUE,TRUE,FALSE
2016,24,adrenaline rush - high energy rock songs,145,TRUE,TRUE,TRUE,TRUE,FALSE
2016,23,grandfathers of loud - epic orchestral classics,146,TRUE,TRUE,TRUE,TRUE,FALSE
2016,22,light your fire - inspired by classic psychedelic rock,147,TRUE,TRUE,TRUE,TRUE,FALSE
2016,21,space mammoths - breaking boundaries with utopianisti,148,TRUE,TRUE,TRUE,TRUE,FALSE
2016,20,the ol' dirt road - folk favorites,149,TRUE,TRUE,TRUE,TRUE,FALSE
2016,19,pump up the volume - 90's pop beats,150,TRUE,TRUE,TRUE,TRUE,FALSE
2016,18,summer nights - sing along under the stars,151,TRUE,TRUE,TRUE,TRUE,FALSE
2016,17,chill out - peaceful sunset moods,152,TRUE,TRUE,TRUE,TRUE,FALSE
2016,16,it's complicated - songs about relationships,153,TRUE,TRUE,TRUE,TRUE,FALSE
2016,15,rock 'n' roll,154,TRUE,TRUE,TRUE,TRUE,FALSE
2016,14,swingin',155,TRUE,TRUE,TRUE,TRUE,FALSE
2016,13,sing-along waltzes,156,TRUE,TRUE,TRUE,FALSE,FALSE
2016,12,at the ballet with tchaikovsky,157,TRUE,TRUE,TRUE,FALSE,FALSE
2016,11,balkan grooves,158,TRUE,TRUE,TRUE,FALSE,FALSE
2016,10,sabor cubano,159,TRUE,TRUE,TRUE,FALSE,FALSE
2016,9,classical picks for the stage,160,TRUE,TRUE,TRUE,FALSE,FALSE
2016,8,the rob scallon challenge,161,TRUE,TRUE,TRUE,FALSE,FALSE
